,,,GENOTYPES,,,
Species,All cohorts,pp/py,py,yy,,
fortis,0,3,3,3,,
fortis,1,2.782802247,2.823908741,2.754519802,,
fortis,2,2.578682264,2.664829295,2.531717606,,
fortis,3,2.432856241,2.540428385,2.392220149,,
fortis,4,2.202829785,2.416920603,2.18546007,,
fortis,5,2.023134402,2.328498701,2.04249823,,
fortis,6,1.887200281,2.226303091,1.894895508,,
fortis,7,1.768404426,2.098399875,1.803125135,,
fortis,8,1.559377109,1.916318253,1.526918723,,
fortis,9,1.363082464,1.77914506,1.225888727,,
fortis,10,1.023134402,1.650050363,0.873706209,,
fortis,11,0.722104406,1.49034952,0.748767473,,
fortis,12,0.296135674,1.138167002,0,,
fortis,13,0,0.837137007,.,,
fortis,14,.,0,.,,
,,,,,,
,,,,,,
,All cohorts,pp/py,py,yy,,
scandens,0,3,3,3,,
scandens,1,2.627475587,2.654387872,2.591541191,,
scandens,2,2.382145741,2.489878485,2.320287586,,
scandens,3,2.262535838,2.349427582,2.091405573,,
scandens,4,2.096910013,2.232314183,2.01399335,,
scandens,5,1.950781977,2.165367394,1.892571187,,
scandens,6,1.825843241,2.086186148,1.743632174,,
scandens,7,1.728933228,2.056222924,1.702239489,,
scandens,8,1.552841969,1.989276135,1.442602178,,
scandens,9,1.494850022,1.839513814,1.100179498,,
scandens,10,1.427903232,1.688246139,0.702239489,,
scandens,11,1.126873236,1.563307402,0.702239489,,
scandens,12,0.950781977,1.387216143,0.702239489,,
scandens,13,0.950781977,1.308034897,0.702239489,,
scandens,14,0,1.308034897,0.401209493,,
scandens,15,.,1.211124884,0,,
scandens,16,.,0.609064893,.,,
scandens,17,.,0,.,,
scandens,18,.,.,.,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
 ,,,,,,
 , ,,,,,
 , ,,,,,
 , ,,,,,
 , , , , , , 
 , , ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
